Date,Number,Akrotiri_Prec,Larnaka_Prec,Paphos_Prec,Akrotiri_RH,Larnaka_RH,Paphos_RH,Akrotiri_Temp,Larnaka_Temp,Paphos_Temp,Akrotiri_WS,Larnaka_WS,Paphos_WS
20060101,0,0.1,0.1,0.1,39.1,37.1,67.1,18.3,18.5,18.1,27.88,24.176,13.064
20060102,0,0.1,0.1,0.1,39.1,37.1,66.1,19.9,19.7,19.2,5.656,26.028,18.62
20060103,0,0.1,0.1,0.1,38.1,39.1,60.1,18.6,18.4,19.2,37.14,29.732,7.508
20060104,0,0.1,0.1,0.1,37.1,40.1,59.1,18.7,18.6,19.2,44.548,35.288,13.064
20060105,0,0.2,0.2,0.1,56.1,54.1,49.1,19.2,20.2,21.1,29.732,22.324,31.584
20060106,0,0.1,0.1,0.1,55.1,57.1,64.1,18.9,19.7,20.0,14.916,11.212,9.36
20060107,0,0.1,0.7,0.1,41.1,46.1,60.1,16.0,17.2,17.1,27.88,22.324,27.88
20060108,0,0.4,1.0,5.2,42.1,44.1,52.1,16.2,16.6,16.8,18.62,24.176,26.028
20060109,0,3.1,0.1,0.1,64.1,38.1,54.1,12.8,15.2,16.8,16.768,13.064,14.916
20060110,0,0.3,0.4,17.1,58.1,73.1,58.1,13.6,11.8,14.1,31.584,16.768,26.028
20060111,0,4.2,32.0,7.0,88.1,82.1,65.1,10.2,11.7,14.4,14.916,22.324,16.768
20060112,0,0.7,12.1,0.1,51.1,60.1,52.1,15.1,13.2,16.9,3.804,24.176,16.768
20060113,0,1.2,0.2,0.1,35.1,54.1,45.1,15.1,15.3,15.6,18.62,5.656,16.768
20060114,0,0.1,28.1,0.1,43.1,42.1,39.1,14.8,15.1,16.4,20.472,20.472,16.768
20060115,0,0.1,0.1,15.1,34.1,36.1,44.1,15.1,14.9,16.0,7.508,20.472,20.472
20060116,0,0.1,0.1,0.1,36.1,33.1,42.1,14.8,15.3,15.0,7.508,13.064,13.064
20060117,0,0.4,0.2,0.3,40.1,44.1,48.1,14.9,14.9,16.0,22.324,9.36,31.584
20060118,0,0.2,0.1,0.4,47.1,32.1,55.1,14.2,16.8,15.2,27.88,14.916,24.176
20060119,0,2.1,0.4,4.1,62.1,57.1,61.1,15.4,17.1,17.4,18.62,29.732,5.656
20060120,0,0.4,3.2,3.1,45.1,39.1,57.1,14.7,17.4,15.6,35.288,33.436,40.844
20060121,0,0.1,0.1,0.1,42.1,42.1,48.1,15.2,15.4,16.0,9.36,13.064,18.62
20060122,0,0.2,0.1,0.1,56.1,61.1,60.1,15.0,15.6,15.7,16.768,20.472,14.916
